project,api_name,pred_type,gold_type,is_type_correct,note
JeecgBoot,GET /jeecgboot/sys/fillRule/queryById,query,query,,
JeecgBoot,POST /jeecgboot/sys/comment/addFile,add,add,,
JeecgBoot,PUT /jeecgboot/sys/comment/edit,update,update,,
JeecgBoot,POST /jeecgboot/sys/fillRule/add,add,add,,
JeecgBoot,POST /jeecgboot/sys/comment/addText,add,add,,
JeecgBoot,GET /jeecgboot/sys/dataSource/list,list query,list query,,
JeecgBoot,DELETE /jeecgboot/sys/comment/delete,delete,delete,,
JeecgBoot,GET /jeecgboot/sys/sysDepartRole/list,list query,list query,,
JeecgBoot,GET /jeecgboot/sys/getLoginQrcode,query,query,,
JeecgBoot,GET /jeecgboot/sys/checkRule/checkByCode,query,query,,
TIME-SEA-chatgpt,GET /admin/user/get/count,query,query,,
TIME-SEA-chatgpt,POST /inspirit/exchange/{code},add,update,,
TIME-SEA-chatgpt,GET /admin/server/get/terminal,query,query,,
TIME-SEA-chatgpt,POST /auth/wechat/code/login,query,query,,
TIME-SEA-chatgpt,POST /auth/email/password/back,update,update,,
TIME-SEA-chatgpt,POST /user/current/info,query,query,,
TIME-SEA-chatgpt,GET /user/star/page,list query,list query,,
TIME-SEA-chatgpt,POST /admin/user/put/data,update,update,,
TIME-SEA-chatgpt,POST /auth/wechat/login,query,query,,
TIME-SEA-chatgpt,POST /admin/server/put/terminal,update,update,,
crapi,GET /workshop/api/mechanic/mechanic_report,query,query,,
crapi,POST /identity/api/v2/user/change-email,update,update,,
crapi,POST /community/api/v2/coupon/validate-coupon,query,query,,
crapi,POST /identity/api/auth/forget-password,update,update,,
crapi,GET /workshop/api/mechanic/receive_report,query,query,,
crapi,POST /identity/api/auth/login,query,query,,
crapi,GET /workshop/api/shop/orders/{order_id},query,query,,
crapi,POST /identity/api/auth/v2/check-otp,update,update,,
crapi,POST /workshop/api/shop/orders/return_order,update,update,,
crapi,PUT /workshop/api/shop/orders/{order_id},update,update,,
